Student,Advisor
"Selina Chu","Eamonn J. Keogh"
"Mohammad Shokoohi-Yekta","Eamonn J. Keogh"
"M. Brandon Westover","Eamonn J. Keogh"
"Lexiang Ye","Eamonn J. Keogh"
"Horst D. Simon","Chris H. Q. Ding"
"Miao Zhang","Chris H. Q. Ding"
"Matthias Schubert","Hans-Peter Kriegel"
"Martin Pfeifle","Hans-Peter Kriegel"
"Stefan Brecheisen","Hans-Peter Kriegel"
"Mihael Ankerst","Hans-Peter Kriegel"
"Thomas Brinkhoff","Hans-Peter Kriegel"
"Thomas Bernecker","Hans-Peter Kriegel"
"Ralf Schneider","Hans-Peter Kriegel"
"Bernhard Braunmüller","Hans-Peter Kriegel"
"Konstantina Palla","Zoubin Ghahramani"
"Yonglong Tian","Xiaoou Tang"
"Judy Hoffman","Trevor Darrell"
"Sergey Karayev","Trevor Darrell"
"Leonid Taycher","Trevor Darrell"
"Hyun Oh Song","Trevor Darrell"
"Gaile G. Gordon","Trevor Darrell"
"Adam Coates","Andrew Y. Ng"
"Jiquan Ngiam","Andrew Y. Ng"
"Zhenghao Chen","Andrew Y. Ng"
"Pang Wei Koh","Andrew Y. Ng"
"Andrew M. Saxe","Andrew Y. Ng"
"Kui Yu","Xindong Wu"
"Zhenyu Lu","Xindong Wu"
"Pei-Pei Li","Xindong Wu"
"Josh Bongard","Xindong Wu"
"Michael Steinbach","Vipin Kumar"
"Shyam Boriah","Vipin Kumar"
"Anuj Karpatne","Vipin Kumar"
"Ankush Khandelwal","Vipin Kumar"
"Xi C. Chen","Vipin Kumar"
"Varun Mithal","Vipin Kumar"
"Gang Fang","Vipin Kumar"
"Yann Dauphin","Yoshua Bengio"
"Salah Rifai","Yoshua Bengio"
"Xavier Glorot","Yoshua Bengio"
"Razvan Pascanu","Yoshua Bengio"
"Olivier Delalleau","Yoshua Bengio"
"Çaglar Gülçehre","Yoshua Bengio"
"Xavier Muller","Yoshua Bengio"
"Mehdi Mirza","Yoshua Bengio"
"Michael Revow","Geoffrey E. Hinton"
"Alberto Paccanaro","Geoffrey E. Hinton"
"Hua-Jun Zeng","Zheng Chen"
"Depin Chen","Zheng Chen"
"Giedrius Slivinskas","Richard T. Snodgrass"
"Senqiang Zhou","Ke Wang"
"Rong She","Ke Wang"
"Yuelong Jiang","Ke Wang"
"Weimin Ma","Ke Wang"
"Yu-Feng Li","Zhi-Hua Zhou"
"Wei Wang 0028","Zhi-Hua Zhou"
"Xiaoyang Tan","Zhi-Hua Zhou"
"Sheng-Jun Huang","Zhi-Hua Zhou"
"De-Chuan Zhan","Zhi-Hua Zhou"
"Timothy Arthur Mann","Shie Mannor"
"Maayan Harel","Shie Mannor"
"Dima Kuzmin","Manfred K. Warmuth"
"Shangsong Liang","Maarten de Rijke"
"Richard Berendsen","Maarten de Rijke"
"Valentin Jijkoun","Maarten de Rijke"
"David Graus","Maarten de Rijke"
"Paul Heymann","Hector Garcia-Molina"
"Benjamin Bercovitz","Hector Garcia-Molina"
"Wilburt Labio","Hector Garcia-Molina"
"Vasilis Verroios","Hector Garcia-Molina"
"Hui Fang 0001","ChengXiang Zhai"
"Bin Tan","ChengXiang Zhai"
"Darya Chudova","Padhraic Smyth"
"Jon Hutchins","Padhraic Smyth"
"Jing Zhang 0001","Jie Tang"
"Sen Wu","Jie Tang"
"Zhanpeng Fang","Jie Tang"
"Tiancheng Lou","Jie Tang"
"Zhilin Yang","Jie Tang"
"Rui Mao","Jeffrey Xu Yu"
"Haiquan Chen","Haixun Wang"
"Quang Hieu Vu","Beng Chin Ooi"
"Jinyang Gao","Beng Chin Ooi"
"Hongjing Lu","Alan L. Yuille"
"Xianjie Chen","Alan L. Yuille"
"Alan J. Demers","Johannes Gehrke"
"Walker M. White","Johannes Gehrke"
"Lucja Kot","Johannes Gehrke"
"Gabriel Bender","Johannes Gehrke"
"Yin Lou","Johannes Gehrke"
"Sudip Roy 0002","Johannes Gehrke"
"Abhinandan Das","Johannes Gehrke"
"Prakash Linga","Johannes Gehrke"
"Guozhang Wang","Johannes Gehrke"
"Adina Crainiceanu","Johannes Gehrke"
"Yuqiang Guan","Inderjit S. Dhillon"
"Joyce Jiyoung Whang","Inderjit S. Dhillon"
"Jason V. Davis","Inderjit S. Dhillon"
"Nagarajan Natarajan","Inderjit S. Dhillon"
"Rawia Awadallah","Gerhard Weikum"
"Christian Zimmer","Gerhard Weikum"
"Bill Kules","Ryen W. White"
"Manoj Syamala","Surajit Chaudhuri"
"Cecilia M. Procopiuc","Divesh Srivastava"
"SungRan Cho","Divesh Srivastava"
"John C. Shafer","Rakesh Agrawal"
"Raja Velu","Rakesh Agrawal"
"Peter Welinder","Pietro Perona"
"Lyndsey C. Pickup","Andrew Zisserman"
"David P. Capel","Andrew Zisserman"
"Reynold S. Xin","Michael J. Franklin"
"Matei Zaharia","Michael J. Franklin"
"Kurt Cornelis","Luc J. Van Gool"
"Danfeng Qin","Luc J. Van Gool"
"Hongjian Fan","Kotagiri Ramamohanarao"
"Hamad Alhammady","Kotagiri Ramamohanarao"
"Pedro Bizarro","David J. DeWitt"
"German K. M. Cheung","Takeo Kanade"
"Alan Malek","Peter L. Bartlett"
"Kaidi Zhao","Bing Liu 0001"
"Nitin Jindal","Bing Liu 0001"
"Weimin Xiao","Bing Liu 0001"
"Thomas M. Tirpak","Bing Liu 0001"
"Arjun Mukherjee","Bing Liu 0001"
"Peter M. Roth","Horst Bischof"
"Thomas Mauthner","Horst Bischof"
"Samuel Schulter","Horst Bischof"
"Sabine Sternig","Horst Bischof"
"Martin Godec","Horst Bischof"
"Manuel Werlberger","Horst Bischof"
"Horst Possegger","Horst Bischof"
"Arnold Irschara","Horst Bischof"
"Engin Türetken","Pascal Fua"
"Aydin Varol","Pascal Fua"
"Vijay Mahadevan","Nuno Vasconcelos"
"Mohammad J. Saberian","Nuno Vasconcelos"
"Hamed Masnadi-Shirazi","Nuno Vasconcelos"
"Shurug Al-Khalifa","H. V. Jagadish"
"Mohamed Nabeel","Elisa Bertino"
"Afshin Dehghan","Mubarak Shah"
"Guang Shu","Mubarak Shah"
"Haroon Idrees","Mubarak Shah"
"Amir Roshan Zamir","Mubarak Shah"
"Xuejun Liao","Lawrence Carin"
"David E. Carlson","Lawrence Carin"
"Lu Ren","Lawrence Carin"
"Yingjian Wang","Lawrence Carin"
"Xin Yuan","Lawrence Carin"
"XianXing Zhang","Lawrence Carin"
"Wenzhao Lian","Lawrence Carin"
"Shaobo Han","Lawrence Carin"
"Miguel R. D. Rodrigues","Lawrence Carin"
"Esther Salazar","Lawrence Carin"
"A. Robert Calderbank","Lawrence Carin"
"Huan Sun","Xifeng Yan"
"Shu Tao","Xifeng Yan"
"Gengxin Miao","Xifeng Yan"
"Ying He 0001","Steven C. H. Hoi"
"Hao Xia","Steven C. H. Hoi"
"Guangxia Li","Steven C. H. Hoi"
"Dayong Wang","Steven C. H. Hoi"
"Jinfeng Zhuang","Steven C. H. Hoi"
"Vasiliy Karasev","Stefano Soatto"
"Kamil Wnuk","Stefano Soatto"
"Pedro DeRose","Raghu Ramakrishnan"
"Hongfei Guo","Raghu Ramakrishnan"
"Pannaga Shivaswamy","Thorsten Joachims"
"Chun-Nam John Yu","Thorsten Joachims"
"Bert Huang","Lise Getoor"
"Louis Licamele","Lise Getoor"
"Ben London","Lise Getoor"
"Galileo Namata","Lise Getoor"
"Elena Zheleva","Lise Getoor"
"Jun Xu 0001","Hang Li"
"Yunhua Hu","Hang Li"
"Haofen Wang","Yong Yu"
"Xinruo Sun","Yong Yu"
"Kailong Chen","Yong Yu"
"Dikan Xing","Yong Yu"
"Hardy Kremer","Thomas Seidl 0001"
"Ralph Krieger","Thomas Seidl 0001"
"Ines Färber","Thomas Seidl 0001"
"Philipp Kranen","Thomas Seidl 0001"
"Timm Jansen","Thomas Seidl 0001"
"Marwan Hassani","Thomas Seidl 0001"
"Brigitte Boden","Thomas Seidl 0001"
"Arne Held","Thomas Seidl 0001"
"Shoji Hirano","Shusaku Tsumoto"
"Jonghyun Choi","Larry S. Davis"
"Seth A. Myers","Jure Leskovec"
"Myunghwan Kim 0002","Jure Leskovec"
"Pablo Andrés Arbeláez","Jitendra Malik"
"Shubham Tulsiani","Jitendra Malik"
"Hao Zhang 0003","Jitendra Malik"
"Georgia Gkioxari","Jitendra Malik"
"Yaliang Li","Jing Gao"
"Xiaoyi Li","Jing Gao"
"Suxin Guo","Jing Gao"
"Qing Chen","Jing Gao"
"Houping Xiao","Jing Gao"
"Vassil Chatalbashev","Daphne Koller"
"Huayan Wang","Daphne Koller"
"Seyda Ertekin","C. Lee Giles"
"Ziming Zhuang","C. Lee Giles"
"Tzyy-Ping Jung","Terrence J. Sejnowski"
"Michael S. Gray","Terrence J. Sejnowski"
"Hui Yang 0002","Srinivasan Parthasarathy"
"Venu Satuluri","Srinivasan Parthasarathy"
"Keith Marsolo","Srinivasan Parthasarathy"
"Duygu Ucar","Srinivasan Parthasarathy"
"Hirotaka Hachiya","Masashi Sugiyama"
"Marthinus Christoffel du Plessis","Masashi Sugiyama"
"Christian Hane","Marc Pollefeys"
"Roland Angst","Marc Pollefeys"
"Jingyu Yan","Marc Pollefeys"
"Andrea Cohen","Marc Pollefeys"
"Freddy Chong Tat Chua","Ee-Peng Lim"
"Gang Chen 0003","Changshui Zhang"
"Mingjie Qian","Changshui Zhang"
"Kun Gai","Changshui Zhang"
"Taeg Sang Cho","William T. Freeman"
"Yi-Chang Shih","William T. Freeman"
"Yongxin Tong","Lei Chen 0002"
"Caleb Chen Cao","Lei Chen 0002"
"Chao-Yeh Chen","Kristen Grauman"
"Jaechul Kim","Kristen Grauman"
"Boqing Gong","Kristen Grauman"
"Jun Du","Charles X. Ling"
"Huajie Zhang","Charles X. Ling"
"Eileen A. Ni","Charles X. Ling"
"Edward Cutrell","Susan T. Dumais"
"Raman Sarin","Susan T. Dumais"
"Felix X. Yu","Shih-Fu Chang"
"Guangnan Ye","Shih-Fu Chang"
"Daniel F. Huber","Martial Hebert"
"Zhimin Fan","Ying Wu"
"Shengyang Dai","Ying Wu"
"Richard L. Lewis","Satinder P. Singh"
"Matthew R. Rudary","Satinder P. Singh"
"Matthew Trappett","Mark Sanderson"
"Chun Li","Jianyong Wang"
"Qingyan Yang","Jianyong Wang"
"Curt J. Ellmann","Jeffrey F. Naughton"
"Sandeep Mane","Jaideep Srivastava"
"Kuo-Wei Hsu","Jaideep Srivastava"
"Colin DeLong","Jaideep Srivastava"
"Nishith Pathak","Jaideep Srivastava"
"Komal Kapoor","Jaideep Srivastava"
"Vana Kalogeraki","Dimitrios Gunopulos"
"Ioannis Boutsis","Dimitrios Gunopulos"
"George Valkanas","Dimitrios Gunopulos"
"Dimitris Papadopoulos","Dimitrios Gunopulos"
"Benjamin Arai","Dimitrios Gunopulos"
"Marcin Marszalek","Cordelia Schmid"
"Jérome Revaud","Cordelia Schmid"
"Karl Schultz","Andrew McCallum"
"Gregory Druck","Andrew McCallum"
"Aron Culotta","Andrew McCallum"
"Y-Lan Boureau","Yann LeCun"
"Fu Jie Huang","Yann LeCun"
