Student,Advisor
"Dongmei Ren","William Perrizo"
"Qiang Ding","William Perrizo"
"Weihua Wu","William Perrizo"
"Fei Pan","William Perrizo"
"Amal Perera","William Perrizo"
"Narayan Bhamidipati","Vladan Radosavljevic"
"Amrita Saha","Vikas C. Raykar"
"Alexey Dosovitskiy","Thomas Brox"
"Shu-Fai Wong","Tae-Kyun Kim"
"Tushar Khot","Sriraam Natarajan"
"Meng Jiang","Shiqiang Yang"
"Michael Dinerstein","Shimon Ullman"
"Leonid Karlinsky","Shimon Ullman"
"Rita Chattopadhyay","Sethuraman Panchanathan"
"Shayok Chakraborty","Sethuraman Panchanathan"
"Bineng Zhong","Rongrong Ji"
"Eric I. Chang","Richard Lippmann"
"Nadia Magnenat-Thalmann","Quan Yuan"
"Tao Yue","Qionghai Dai"
"Marco Brambilla 0001","Piero Fraternali"
"Bojan Pepik","Peter V. Gehler"
"Sabine Sternig","Peter M. Roth"
"Nish Parikh","Neel Sundaresan"
"Jorn Bakker","Mykola Pechenizkiy"
"Chiara Renso","Mirco Nanni"
"Rebecca Ong","Mirco Nanni"
"Long Jiang","Ming Zhou"
"Assaf Glazer","Michael Lindenbaum"
"Michael Nett","Michael E. Houle"
"Riddhiman Ghosh","Meichun Hsu"
"Andreas Züfle","Matthias Renz"
"Tobias Emrich","Matthias Renz"
"Thomas Bernecker","Matthias Renz"
"José Borges","Mark Levene"
"Riddhiman Ghosh","Malú Castellanos"
"Raif M. Rustamov","Leonidas J. Guibas"
"Michael Frazier","Leonard Pitt"
"Dongyan Zhao","Lei Zou"
"Marco Stolpe","Katharina Morik"
"Sue E. Johnson","Karen Sparck Jones"
"Philip C. Woodland","Karen Sparck Jones"
"P. Jourlin","Karen Sparck Jones"
"Ying Bai","Jerry L. Prince"
"Pierre-Louis Bazin","Jerry L. Prince"
"Vinay Sharma","James W. Davis"
"Geof H. Givens","J. Ross Beveridge"
"David S. Bolme","J. Ross Beveridge"
"Jie Chen 0004","Huidong Jin"
"Damien McAullay","Huidong Jin"
"Chris Kelman","Huidong Jin"
"Hua-Yan Wang","Hongbin Zha"
"Jörg Ontrup","Helge J. Ritter"
"Peter Meinicke","Helge J. Ritter"
"Jörg A. Walter","Helge J. Ritter"
"Robert Peharz","Franz Pernkopf"
"Yuzhen Niu","Feng Liu"
"Zhian He","Eric Lo"
"Zhaoqi Chen","Dmitri V. Kalashnikov"
"Nalini Venkatasubramanian","Dmitri V. Kalashnikov"
"Li Zhang 0005","Chew Lim Tan"
"Zhiqiang (Eric) Zheng","Balaji Padmanabhan"
"Hang Chang","Bahram Parvin"
"Ge Cong","Bahram Parvin"
"Yash Deshpande","Andrea Montanari"
"Ananda Theertha Suresh","Alon Orlitsky"
"Sajama","Alon Orlitsky"
"Jayadev Acharya","Alon Orlitsky"
"Ashkan Jafarpour","Alon Orlitsky"
"Stephan Schraml","Ahmed Nabil Belbachir"
"Aneta Nowakowska","Ahmed Nabil Belbachir"
"Yong Zeng","Zhifeng Bao"
"Alicja Wieczorkowska","Zbigniew W. Ras"
"Dilek Tapucu","Yücel Saygin"
"Siliang Tang","Yueting Zhuang"
"Jian Shao","Yueting Zhuang"
"Kiyohito Nagano","Yoshinobu Kawahara"
"Julia Tzu-Ya Weng","Yi-Cheng Chen"
"David Fuhry","Yang Xiang"
"Wenbin Cai","Ya Zhang"
"Frederick W. Wheeler","Xiaoming Liu 0002"
"Felix Heide","Wolfgang Heidrich"
"Mushfiqur Rouf","Wolfgang Heidrich"
"Qinghua Zou","Wesley W. Chu"
"Zhouxuan Teng","Wenliang Du"
"Alexandros Karakasidis 0001","Vassilios S. Verykios"
"Ching-Yao Wang","Tzung-Pei Hong"
"Trung-Thanh Pham","Tat-Jun Chin"
"Jussi Kujala","Tapio Elomaa"
"Masaki Saito","Takayuki Okatani"
"Taragay Oskiper","Supun Samarasekera"
"Hideki Asoh","Shotaro Akaho"
"Mon-Fong Jiang","Shian-Shyong Tseng"
"Ching-Yao Wang","Shian-Shyong Tseng"
"Changfeng Wang","Santosh S. Venkatesh"
"Martin Bäuml","Rainer Stiefelhagen"
"Makarand Tapaswi","Rainer Stiefelhagen"
"Carlos Rojas","Olfa Nasraoui"
"Anísio Lacerda","Nivio Ziviani"
"Leonid Pishchulin","Mykhaylo Andriluka"
"Eric Vatikiotis-Bateson","Mitsuo Kawato"
"Makoto Hirayama","Mitsuo Kawato"
"Sebastian Gerwinn","Matthias Bethge"
"Philipp Berens","Matthias Bethge"
"Michael Kamp","Mario Boley"
"Ivan Vulic","Marie-Francine Moens"
"Gwen Littlewort","Marian Stewart Bartlett"
"Chris Russell","Lourdes de Agapito"
"Hongzhi Yin","Ling Chen"
"Xuan Li","Liang Du"
"Elisa Quintarelli","Letizia Tanca"
"Cristiana Bolchini","Letizia Tanca"
"Soujanya Vadapalli","Kamalakar Karlapalem"
"Satyanarayana R. Valluri","Kamalakar Karlapalem"
"Lini T. Thomas","Kamalakar Karlapalem"
"Xia Hong","Junbin Gao"
"David Masip","Jordi Vitrià"
"David Guillamet","Jordi Vitrià"
"Fahad Shahbaz Khan","Joost van de Weijer"
"Jan N. van Rijn","Joaquin Vanschoren"
"Teresa Wu","Jing Li"
"Kewei Chen","Jing Li"
"Eric Reiman","Jing Li"
"Adam Fleisher","Jing Li"
"Cong Leng","Jian Cheng"
"Ting Yuan","Jian Cheng"
"Jiaxiang Wu","Jian Cheng"
"P. Krishnan","Jeffrey Scott Vitter"
"Michael Kolomenkin","Ilan Shimshoni"
"Kohei Ogawa","Ichiro Takeuchi"
"Liangxiao Jiang","Harry Zhang"
"Arne Held","Hardy Kremer"
"Manuel Danisch","Hans-Arno Jacobsen"
"William Alexander","George P. Copeland"
"Markus Schoeler","Florentin Wörgötter"
"Jeremie Papon","Florentin Wörgötter"
"Keyun Hu","Chunyi Shi"
"Dyng Au","Brendan Kitts"
"Brian Burdick","Brendan Kitts"
"Saadia Malik","Birger Larsen"
"Gaël Varoquaux","Bertrand Thirion"
"Jean-Baptiste Poline","Bertrand Thirion"
"Noman Mohammed","Benjamin C. M. Fung"
"Kevin A. Archie","Bartlett W. Mel"
"Runa Bhaumik","Bamshad Mobasher"
"Chad Williams","Bamshad Mobasher"
"Somak Raychaudhury","Ata Kabán"
"Glen Brooksby","Anthony Hoogs"
"Andrea Albarelli","Andrea Torsello"
"Filippo Bergamasco","Andrea Torsello"
"Giovanni Ponti","Andrea Tagarelli"
"Samuel Dambreville","Allen Tannenbaum"
"Giuseppe Lisanti","Alberto Del Bimbo"
"Alister Hamilton","Alan F. Murray"
"Xiao-Ming Wu","Zhenguo Li"
"Zhiquan Qi","Yingjie Tian"
"Steve Goodison","Yijun Sun"
"Yibei Ling","Wei Sun 0002"
"Mark Allen Weiss","Wei Sun 0002"
"Takayoshi Shoudai","Tomoyuki Uchida"
"Yusuke Suzuki","Tomoyuki Uchida"
"Brian Amberg","Thomas Vetter"
"Bishan Yang","Tengjiao Wang"
"Michael A. Osborne","Stephen J. Roberts"
"Assaf Glazer","Shaul Markovitch"
"Xi Cheng","Sergey Tulyakov"
"Zhi Zhang","Sergey Tulyakov"
"Kiyana Zolfaghar","Senjuti Basu Roy"
"Woon-Hak Kang","Sang-Won Lee"
"Rasikan David","Sang Hyuk Son"
"Zhiwu Huang","Ruiping Wang"
"Qiang Hao","Rui Cai"
"Nadav Golbandi","Ronny Lempel"
"Kevin Chiew","Qinming He"
"Lianhang Ma","Qinming He"
"Jiangfeng He","Qinming He"
"Feng Qian","Qinming He"
"Danial Lashkari","Polina Golland"
"Raquel Sebastião","Pedro Pereira Rodrigues"
"Alex D. Leow","Paul M. Thompson"
"Igor Yanovsky","Paul M. Thompson"
"G. Peter K. Carr","Patrick Lucey"
"Alina Bialkowski","Patrick Lucey"
"Ming-Yu Liu 0001","Oncel Tuzel"
"Santanu Das","Nikunj C. Oza"
"Narayan Bhamidipati","Nemanja Djuric"
"Wojciech Szpankowski","Mikhail J. Atallah"
"Ken-ichi Fukui","Masayuki Numao"
"François Fouss","Marco Saerens"
"Luh Yen","Marco Saerens"
"David Graus","Manos Tsagkias"
"Manohar Paluri","Lubomir D. Bourdev"
"Hongli Deng","Linda G. Shapiro"
"Steven Eschrich","Lawrence O. Hall"
"Oana G. Cula","Kristin J. Dana"
"C. C. Alan Fung","K. Y. Michael Wong"
"Jiani Hu","Jun Guo"
"M. José Ramírez-Quintana","José Hernández-Orallo"
"Saikat Mukherjee","I. V. Ramakrishnan"
"Jalal Mahmud","I. V. Ramakrishnan"
"Chang Zhao","I. V. Ramakrishnan"
"Marshall Ramsey","Hsinchun Chen"
"Adam Sadilek","Henry A. Kautz"
"Jung-Tae Lee","Hae-Chang Rim"
"Seung-Wook Lee","Hae-Chang Rim"
"Sang-Bum Kim","Hae-Chang Rim"
"Martin Hofmann 0011","Gerhard Rigoll"
"Pernilla Qvarfordt","Gene Golovchinsky"
"Benjamin Markines","Filippo Menczer"
"Alessandro Flammini","Filippo Menczer"
"Zhiwei Xiong","Feng Wu"
"Xiaoyan Sun","Feng Wu"
"Siliang Tang","Fei Wu"
"Jian Shao","Fei Wu"
"Peng Ye","David S. Doermann"
"Stuart N. K. Watt","David J. Harper"
"Michael P. Holmes","Charles Lee Isbell Jr."
"Weihua Xiong","Bing Li"
"Carla P. Gomes","Bart Selman"
"Ashish Sabharwal","Bart Selman"
"George Leifman","Ayellet Tal"
"Xavier Tannier","Antoine Doucet"
"Véronique Moriceau","Antoine Doucet"
"Timothy Chappell","Antoine Doucet"
"Matthew Trappett","Antoine Doucet"
"Gary C. L. Li","Andrew K. C. Wong"
"Sahin Cem Geyik","Ali Dasdan"
"Burkay Orten","Ali Dasdan"
"Zoltán Gyöngyi","Adam Jatowt"
"Jie Chen 0007","Yousef Saad"
"Makoto Onizuka","Yasuhiro Fujiwara"
"Makoto Nakatsuji","Yasuhiro Fujiwara"
"Hiroaki Shiokawa","Yasuhiro Fujiwara"
"Deqing Yang","Yanghua Xiao"
"Andriy Myronenko","Xubo B. Song"
"Linda Kato","W. Scott Spangler"
"Thomas D. Griffin","W. Scott Spangler"
"Jeffrey T. Kreulen","W. Scott Spangler"
"Alfredo Alba","W. Scott Spangler"
"Jan Rittinger","Torsten Grust"
"Elizabeth Chang","Tharam S. Dillon"
"Takayoshi Shoudai","Tetsuhiro Miyahara"
"Yusuke Suzuki","Tetsuhiro Miyahara"
"Hua-Fu Li","Suh-Yin Lee"
"Kun Deng","Stephen D. Scott"
"Kensuke Sekihara","Srikantan S. Nagarajan"
"Hagai Thomas Attias","Srikantan S. Nagarajan"
"Simon Denman","Sridha Sridharan"
"C. C. Alan Fung","Si Wu"
"Michael Fuller","Ross Wilkinson"
"Jian-Guang Lou","Qiang Fu"
"Martin Wechsler","Peter Schäuble"
"Xavier Tannier","Patrice Bellot"
"Véronique Moriceau","Patrice Bellot"
"Timothy Chappell","Patrice Bellot"
"Matthew Trappett","Patrice Bellot"
"Michael Cohen","Nelson Morgan"
"Horacio Franco","Nelson Morgan"
"Andrey Bernstein","Nahum Shimkin"
"Jonathan Schler","Moshe Koppel"
"Narayan Bhamidipati","Mihajlo Grbovic"
"Bojan Pepik","Michael Stark 0003"
"Guoying Zhao","Matti Pietikäinen"
"Richard Coggins","Marwan A. Jabri"
"Nihit Desai","Marina Danilevsky"
"Romain Guigourès","Marc Boullé"
"Asaf Shabtai","Lior Rokach"
"Brandon M. Smith 0001","Li Zhang 0003"
"Fabien Scalzo","Justus H. Piater"
"Xianglong Liu","Junfeng He"
"Renee Laubscher","James M. Kang"
"Michael R. Evans","James M. Kang"
"Joshua Harguess","Jake K. Aggarwal"
"Joni Pajarinen","Jaakko Peltonen"
"Marko Bohanec","Ivan Bratko"
"Aleks Jakulin","Ivan Bratko"
"Antonios Oikonomopoulos","Ioannis Patras"
"Guofeng Zhang","Hujun Bao"
"Xiang Ruan","Huchuan Lu"
"Kenji Yoshihira","Haifeng Chen"
"David Tse Jung Huang","Gillian Dobbie"
"Jörg Kindermann","Gerhard Paass"
"Gholamreza Amayeh","George Bebis"
"Ali Erol","George Bebis"
"Ludger van Elst","Georg Buscher"
"Yu Gu 0002","Ge Yu"
"Roeland Ordelman","Franciska de Jong"
"Nicola Di Mauro","Floriana Esposito"
"Gregory J. Wolff","David G. Stork"
"Hossein Azari Soufiani","David C. Parkes"
"Lirong Xia","David C. Parkes"
"Tanveer F. Syeda-Mahmood","David Beymer"
"Akrivi Vlachou","Christos Doulkeridis"
"Benjamin Reed","Christopher Olston"
"Yan-Ming Zhang","Cheng-Lin Liu"
"Erfan Zamanian","Carsten Binnig"
"Abdallah Salama","Carsten Binnig"
"Ali Pinar","C. Seshadhri"
"Kavitha Srinivas","Anastasios Kementsietsidis"
"Giovanni Da San Martino","Alessandro Sperduti"
"Zhuhua Cai","Zografoula Vagena"
"Taragay Oskiper","Zhiwei Zhu"
"Junlin Hu","Yap-Peng Tan"
"Frederick W. Wheeler","Yan Tong"
"Barbora Micenková","Xuan Hong Dang"
"Mark G. Pleszkoch","William I. Gasarch"
"Yujie He","Wenlin Chen"
"Shuhang Gu","Wangmeng Zuo"
"Guang Chen","Tony X. Han"
"Shaodan Zhai","Tian Xia"
"Dong Guo 0001","Terence Sim"
"Ji Meng Loh","Tamraparni Dasu"
"Kazuo Machida","Takehisa Yairi"
"Yusuke Suzuki","Takayoshi Shoudai"
"Eric Bruno","Stéphane Marchand-Maillet"
"Igor Yanovsky","Stanley Osher"
"Masato Kawade","Shihong Lao"
"Matthew E. Antone","Seth J. Teller"
"Xuan Song","Ryosuke Shibasaki"
"Quanshi Zhang","Ryosuke Shibasaki"
"Huijing Zhao","Ryosuke Shibasaki"
"Xiaowei Shao","Ryosuke Shibasaki"
"Jianchang Mao","Ruofei Zhang"
"Ze Tian","Rui Kuang"
"Lina Yao","Quan Z. Sheng"
"Nicolas Anciaux","Philippe Pucheral"
"Misael Mongiovì","Petko Bogdanov"
"David Botzer","Opher Etzion"
"Finale Doshi","Nicholas Roy"
"Yanhua Chen","Ming Dong"
"Manjeet Rege","Ming Dong"
"Dirk Hecker","Michael May"
"Rawia Awadallah","Maya Ramanath"
"Lorraine Goeuriot","Liadh Kelly"
"Khanh Vu","Kien A. Hua"
"Suxin Guo","Kang Li"
"Enrique Amigó","Julio Gonzalo"
"Jyh-Ming Kuo","José Carlos Príncipe"
"Anthony Jayakumar","Joshua Alspector"
"Ralph M. Weischedel","Jinxi Xu"
"Zechao Li","Jing Liu"
"Xiaoshuai Sun","Hongxun Yao"
"Jie Chen 0004","Hongxing He"
"Damien McAullay","Hongxing He"
"Chris Kelman","Hongxing He"
"Mokrane Bouzeghoub","Hakim Hacid"
"Peter W. Li","György J. Simon"
"Wim Martens","Frank Neven"
"Zhandong Liu","Eunho Yang"
"Genevera I. Allen","Eunho Yang"
"Hongli Deng","Eric N. Mortensen"
"Solomon Eyal Shimony","Ehud Gudes"
"Armando Fox","David A. Patterson"
"Dongwei Cao","Daniel Boley"
"Yichuan Zhang","Charles A. Sutton"
"Jierui Xie","Boleslaw K. Szymanski"
"Matthias Krauledat","Benjamin Blankertz"
"Guido Dornhege","Benjamin Blankertz"
"Vitaly Ablavsky","Ashwin Thangali"
"David Vázquez","Antonio M. López"
"Saadia Malik","Anastasios Tombros"
"Javier Parapar","Alvaro Barreiro"
"Thomas O'Donnell","Alok Gupta"
"Roee Litman","Alexander M. Bronstein"
"Gao Huang","Zhixiang Eddie Xu"
"Kyungnam Kim","Yuri Owechko"
"Jiaqi Ge","Yuni Xia"
"Xiong Li","Yuncai Liu"
"Byeong-Soo Jeong","Young-Koo Lee"
"Ruilin Liu","Wendy Hui Wang"
"Nan C. Shu","Vincent Y. Lum"
"Kamal Nasrollahi","Thomas B. Moeslund"
"Michael Hirsch","Stefan Harmeling"
"Qingbo Hu","Shuyang Lin"
"Yue-Shi Lee","Show-Jane Yen"
"Duy-Dinh Le","Shin'ichi Satoh"
"Jung-Im Won","Sang-Wook Kim"
"Jeehee Yoon","Sang-Wook Kim"
"Rui Mao","Rong-Hua Li"
"Christian Köhler 0002","Ragini Verma"
"Juan M. Banda","Rafal A. Angryk"
"Jin Kyu Kim","Qirong Ho"
"Guangtao Wang","Qinbao Song"
"Hachem Kadri","Philippe Preux"
"K. M. Ho","Paul D. Scott"
"Albert Yu","Pankaj K. Agarwal"
"Ferdous Ahmed Sohel","Mohammed Bennamoun"
"Steve Bourgeois","Michel Dhome"
"Johann Gamper","Michael H. Böhlen"
"Hiroya Takamura","Manabu Okumura"
"Zhuhua Cai","Luis Leopoldo Perez"
"Zhanghui Kuang","Kwan-Yee Kenneth Wong"
"Jan-Eike Michels","Krishna G. Kulkarni"
"Gilbert Swinnen","Koen Vanhoof"
"Rui Ma","Keke Cai"
"Jörg Bornschein","Jörg Lücke"
"Elias Bareinboim","Judea Pearl"
"Jesús Ariel Carrasco-Ochoa","José Francisco Martínez Trinidad"
"Matthew Trappett","Josiane Mothe"
"Özge Can Özcanli","Joseph L. Mundy"
"Donald F. Towsley","John A. Stankovic"
"Junlin Hu","Jiwen Lu"
"Kai Chen 0010","Jeffrey Dean"
"Pascal Cuxac","Jean-Charles Lamirel"
"Hui Zhang 0005","James C. Gee"
"Christian Simon","In Kyu Park"
"Ryo Furukawa","Hiroshi Kawasaki"
"Wei Zhang 0002","Gregory J. Zelinsky"
"Tanveer F. Syeda-Mahmood","Fei Wang 0002"
"Julien Blanchard","Fabrice Guillet"
"Timothy Chappell","Eric SanJuan"
"Matthew Trappett","Eric SanJuan"
"Filippo Bergamasco","Emanuele Rodolà"
"Christine Tomlinson","Darrell Woelk"
"C. Unnikrishnan","Darrell Woelk"
"Jörg Hendrik Kappes","Christoph Schnörr"
"Seth Bridges","Chris Diorio"
"Yingwei Pan","Chong-Wah Ngo"
"Ting Yao","Chong-Wah Ngo"
"Di Lin","Cewu Lu"
"Alan Herschtal","Bhavani Raskutti"
"Robert J. Lindner","Bernard K. Plagman"
"Vincent Cho","Beat Wüthrich"
"Savvas A. Chatzichristofis","Avi Arampatzis"
"Zhaolei Zhang","Anthony J. Bonner"
"Tobias Emrich","Andreas Züfle"
"Thomas Bernecker","Andreas Züfle"
"Karthikeyan Shanmugam","Alexandros G. Dimakis"
"Euthimios Panagos","Alexandros Biliris"
"Yun Zhu","Albert J. Sinusas"
"Yun-Qian Miao","Ahmed K. Farahat"
"Glen Brooksby","A. G. Amitha Perera"
"Martin Bujnak","Zuzana Kukelova"
"Yaqiong Wang","Zhiang Wu"
"Jiaxing Zhang","Zheng Zhang"
"Cheng Zhong","Zhenan Sun"
"Chunqiu Zeng","Yexi Jiang"
"Rong Hu","Yansheng Lu"
"Pei-Pei Li","Xuegang Hu"
"Quanshi Zhang","Xuan Song"
"Qi Song","Xiaodong Wu"
"Xin Wu","Wei Jin"
"Ioannis Boutsis","Vana Kalogeraki"
"Bryan R. Gibson","Timothy T. Rogers"
"Farhan Tauheed","Thomas Heinis"
"Martin Trudeau","Sébastien Roy"
"Girish N. Patel","Stephen P. DeWeerth"
"Kosuke Sato","Shinsaku Hiura"
"Vignesh Jagadeesh","Robinson Piramuthu"
"Runa Bhaumik","Robin D. Burke"
"Chad Williams","Robin D. Burke"
"Bala Kalyanasundaram","Robert P. Daley"
"Davoud Moulavi","Ricardo J. G. B. Campello"
"Sam S. Tsai","Radek Grzeszczuk"
"David M. Chen","Radek Grzeszczuk"
"Gabriel Takacs","Radek Grzeszczuk"
"Thibault Helleputte","Pierre Dupont"
"Emanuele Olivetti","Paolo Avesani"
"Ioannis Kopanakis","Nikos Pelekis"
"Zejian Yuan","Nanning Zheng"
"Won Hwa Kim","Moo K. Chung"
"Timothy Chappell","Monica Landoni"
"Gholamreza Amayeh","Mircea Nicolescu"
"Ali Erol","Mircea Nicolescu"
"Kazunari Sugiyama","Min-Yen Kan"
"Yang Sok Kim","Michael Bain"
"Wayne Wobcke","Michael Bain"
"Alfred Krzywicki","Michael Bain"
"Morteza ZiHayat","Mehdi Kargar"
"Xueyan Jiang","Maximilian Nickel"
"Jerry Fowler","Marian H. Nodine"
"Jeremy Z. Kolter","Marcus A. Maloof"
"Francesca Mangili","Marco Zaffalon"
"Alessio Benavoli","Marco Zaffalon"
"Vaishali P. Sadaphal","Maitreya Natu"
"Thomas F. La Porta","Lu An Tang"
"Alice Leung","Lu An Tang"
"Mohammad Akbari","Liqiang Nie"
"Zhenxing Wang","Laiwan Chan"
"JeongKyu Lee","Jung-Hwan Oh"
"David Dominguez-Sal","Josep-Lluis Larriba-Pey"
"Hanlin Goh","Joo-Hwee Lim"
"Marc G. Bellemare","Joel Veness"
"Neill D. F. Campbell","Jan Kautz"
"Sam Lindley","James Cheney"
"Charles L. Viles","James C. French"
"Allison L. Powell","James C. French"
"Ilya Reshetouski","Ivo Ihrke"
"Alkhazur Manakov","Ivo Ihrke"
"Panagiotis Tsiamyrtzis","Ioannis T. Pavlidis"
"Evan Archer","Il Memming Park"
"Inbal Ronen","Ido Guy"
"Dao-Qing Dai","Hong Yan"
"Wen-Hui Yang","Hong Yan"
"Sungpack Hong","Hassan Chafi"
"Raghavan Raman","Hassan Chafi"
"Adam Welc","Hassan Chafi"
"Francesca Mangili","Giorgio Corani"
"Alessio Benavoli","Giorgio Corani"
"Gilbert Swinnen","Geert Wets"
"Cen Li","Gautam Biswas"
"Mosfeq Rashid","Gale Martin"
"Oisin Mac Aodha","Gabriel J. Brostow"
"Dipan K. Pal","Felix Juefei-Xu"
"Lavi Shpigelman","Eilon Vaadia"
"Luke Barrington","Douglas Turnbull"
"Fei Pan","Dongmei Ren"
"Marco Tagliasacchi","Davide Martinenghi"
"M. José Ramírez-Quintana","César Ferri"
"Chuan-Sheng Foo","Chuong B. Do"
"Dirk Hecker","Christine Körner"
"Wolfgang Glänzel","Bart De Moor"
"Xinhai Liu","Bart De Moor"
"Frizo A. L. Janssens","Bart De Moor"
"Jochen De Weerdt","Bart Baesens"
"Wei Di","Anurag Bhardwaj"
"Debra E. VanderMeer","Anindya Datta"
"Kaushik Dutta","Anindya Datta"
"Filippo Bergamasco","Andrea Albarelli"
"Dan Koppel","Yuan-Fang Wang"
"John Makhoul","Ying Zhao"
"Zhiqiang Xu","Yi Wang 0006"
"Kun-Mao Chao","Ya-Hui Chang"
"John Gums","Xiuyao Song"
"Timothy Chappell","Xavier Tannier"
"Matthew Trappett","Xavier Tannier"
"Timothy Chappell","Véronique Moriceau"
"Matthew Trappett","Véronique Moriceau"
"Manuel Danisch","Tilmann Rabl"
"Horst Possegger","Thomas Mauthner"
"Adam Fleisher","Teresa Wu"
"Antti Airola","Tapio Pahikkala"
"Shinji Kawasoe","Setsuo Arikawa"
"Kenji Abe","Setsuo Arikawa"
"Prabhu Kaliamoorthi","Ramakrishna Kakarala"
"Matthew Trappett","Qiuyue Wang"
"Cédric Wemmert","Pierre Gançarski"
"Richard Michael Grantham Wesley","Pawel Terlecki"
"Yang Sok Kim","Paul Compton"
"Wayne Wobcke","Paul Compton"
"Alfred Krzywicki","Paul Compton"
"Zhongxian Gu","Mohamed A. Soliman"
"Seth Bridges","Miguel Figueroa"
"Marek Wojciechowski","Maciej Zakrzewicz"
"James R. Voss","Luis Rademacher"
"Jia-Huai You","Li-Yan Yuan"
"Adam Fleisher","Kewei Chen"
"Thomas A. Trikalinos","Kevin Small"
"Akisato Kimura","Katsuhiko Ishiguro"
"Weimin Xiao","Kaidi Zhao"
"Seung-Wook Lee","Jung-Tae Lee"
"Esa Rahtu","Juho Kannala"
"Juan F. Huete","Juan M. Fernández-Luna"
"Gaile G. Gordon","John Woodfill"
"Alexander Freytag","Joachim Denzler"
"Tao Yue","Jin-Li Suo"
"Damien McAullay","Jie Chen 0004"
"Chris Kelman","Jie Chen 0004"
"Yuanchun Zhou","Jianhui Li"
"Danhuai Guo","Jianhui Li"
"Jochen De Weerdt","Jan Vanthienen"
"Mehdi Mirza","Ian J. Goodfellow"
"Xiaowei Shao","Huijing Zhao"
"Ya-Zhou Ren","Guoji Zhang"
"Gregory G. Slabaugh","Gozde B. Unal"
"Mauro Negri","Giuseppe Pelagatti"
"Guido Dornhege","Gabriel Curio"
"Adam Fleisher","Eric Reiman"
"Roland Billen","Eliseo Clementini"
"Renee Laubscher","Dev Oliver"
"Stefano Lodi","Claudio Sartori"
"Jianxin Li","Chengfei Liu"
"Denis Deratani Mauá","Cassio Polpo de Campos"
"Paul Swoboda","Bogdan Savchynskyy"
"Vatche Ishakian","Azer Bestavros"
"Johnny Park","Avinash C. Kak"
"Yang Sok Kim","Ashesh Mahidadia"
"Wayne Wobcke","Ashesh Mahidadia"
"Alfred Krzywicki","Ashesh Mahidadia"
"Yodsawalai Chodpathumwan","Arash Termehchy"
"Greg Ver Steeg","Aram Galstyan"
"Linda Kato","Ana Lelescu"
"S. Shankar Sastry","Allen Y. Yang"
"Arlindo L. Oliveira","Alberto L. Sangiovanni-Vincentelli"
"Arthur Choi","Adnan Darwiche"
"Mingqing Hu","Zijia Lin"
"Qiang Hao","Yanwei Pang"
"Xinhai Liu","Wolfgang Glänzel"
"Lei Sheng","Tolga Bozkaya"
"Niels Birbaumer","Thomas Navin Lal"
"Yujun Wang","Stratos Papadomanolakis"
"Supiti Buranawatanachoke","Stratos Papadomanolakis"
"Romain Colle","Stratos Papadomanolakis"
"Leonidas Galanis","Stratos Papadomanolakis"
"Karl Dias","Stratos Papadomanolakis"
"Tam T. Nguyen","Siu Cheung Hui"
"Jin Kyu Kim","Seunghak Lee"
"Jung-Im Won","Sanghyun Park"
"Jeehee Yoon","Sanghyun Park"
"Lee A. Appelbaum","Richard M. Tong"
"Peter B. Walker","Owen T. Carmichael"
"Sergei M. Ananyan","Mikhail V. Kiselev"
"Sergei B. Arseniev","Mikhail V. Kiselev"
"Riad Akrour","Marc Schoenauer"
"Thiago Salles","Leonardo C. da Rocha"
"Jin Li 0003","Kristin Tufte"
"Martin Braschler","Khalid Choukri"
"Kazuo Hashimoto","Kazunori Matsumoto"
"Xiaoyan Liu","Huaiqing Wang"
"Ihab Al Kabary","Heiko Schuldt"
"Sek Chai","Gooitzen S. van der Wal"
"Kostyantyn M. Shchekotykhin","Gerhard Friedrich"
"Maurizio Tucci","Genoveffa Tortora"
"Gianluca Lax","Francesco Buccafurri"
"Cristiana Bolchini","Fabio A. Schreiber"
"Domenico Potena","Claudia Diamantini"
"André Panisson","Ciro Cattuto"
"Allison L. Powell","Charles L. Viles"
"Jae-Young Sim","Chang-Su Kim"
"Salvatore Scellato","Cecilia Mascolo"
"Anastasios Noulas","Cecilia Mascolo"
"Dilek Tapucu","Berrin A. Yanikoglu"
"Narayanan Chatapuram Krishnan","Barnan Das"
"Umesh Maheshwari","Barbara Liskov"
"Gianluca Antonini","Abderrahim Labbi"
"Tobias Kellner","A. Kumaran"
"Xiangnan Kong","Philip S. Yu"
"Jiliang Tang","Huan Liu"
"Ning Liu","Zheng Chen"
"Ning Liu","Jun Yan"
"Issei Sato","Hiroshi Nakagawa"
"Vanessa Braganholo","Marianne Winslett"
"Jun Yan","Zheng Chen"
"Xiao Yu","Jiawei Han"
"Pascal Vincent","Yoshua Bengio"
"Weiyi Meng","Clement T. Yu"
"Ke Chen 0005","Lidan Shou"
"Chi Wang 0001","Jiawei Han"
"Yu Zhang 0006","Dit-Yan Yeung"
"Haibo Hu","Jianliang Xu"
"Danai Koutra","Christos Faloutsos"
"Alexander G. Schwing","Raquel Urtasun"
"Mohammad M. Masud","Latifur Khan"
"Kaiqi Huang","Tieniu Tan"
"Kaiming He","Jian Sun 0001"
"Ludovic Denoyer","Patrick Gallinari"
"Virgiliu Pavlu","Javed A. Aslam"
"David A. Grossman","Ophir Frieder"
"Bo Zhao","Jiawei Han"
