Name,Cooperator,Support,Confidence,Weight
"Peng Cui","Shiqiang Yang",11,0.7333333333333333,0.7575336237368181
"A. Kumaran","Tobias Kellner",3,0.75,0.7566000792009504
"Michael R. Lyu","Irwin King",27,0.6923076923076923,0.751708405116246
"Abdur Chowdhury","Ophir Frieder",13,0.7222222222222222,0.7508225654263406
"Wynne Hsu","Mong-Li Lee",25,0.6944444444444444,0.7494451044523646
"Guoliang Li","Jianhua Feng",23,0.696969696969697,0.7475703041769834
"Ralf Herbrich","Thore Graepel",19,0.7037037037037037,0.745504205309723
"Brendan Kitts","Dyng Au",8,0.7272727272727273,0.7448729384752617
"Corinna Cortes","Mehryar Mohri",24,0.6857142857142857,0.7385149193218891
"Mongi A. Abidi","Andreas F. Koschan",10,0.7142857142857143,0.7362859782888823
"Lijun Zhang 0005","Rong Jin",12,0.7058823529411765,0.7322826697449781
"Lidan Shou","Ke Chen 0005",14,0.7,0.7308003696044352
"Alexandros Biliris","Euthimios Panagos",5,0.7142857142857143,0.7252858462872983
"Hiroshi Nakagawa","Issei Sato",19,0.6785714285714286,0.7203719301774478
"Jiong Yang","Wei Wang 0010",17,0.68,0.7174004488053857
"Bart Selman","Ashish Sabharwal",7,0.7,0.7154001848022176
"Claudia Plant","Christian Böhm",22,0.6666666666666666,0.7150672474736364
"Sanja Fidler","Raquel Urtasun",15,0.6818181818181818,0.7148185778229338
"Shaohua Kevin Zhou","Dorin Comaniciu",13,0.6842105263157895,0.7128108695199079
"Xiang Bai","Wenyu Liu",9,0.6923076923076923,0.7121079299105435
"Ira Assent","Thomas Seidl 0001",11,0.6875,0.7117002904034848
"Leman Akoglu","Christos Faloutsos",18,0.6666666666666666,0.706267141872369
"Heng Huang","Feiping Nie",28,0.6363636363636364,0.6979643755725069
"Andrew Tomkins","Ravi Kumar",14,0.6666666666666666,0.6974670362711018
"Hiroshi Motoda","Takashi Washio",19,0.6551724137931034,0.6969729153991227
"Benyu Zhang","Jun Yan",12,0.6666666666666666,0.6930669834704682
"U. Kang","Christos Faloutsos",17,0.6538461538461539,0.6912466026515395
"Xueqi Cheng","Jiafeng Guo",20,0.6451612903225806,0.6891618183289167
"Pierre Geurts","Louis Wehenkel",10,0.6666666666666666,0.6886669306698346
"Takeshi Yamada","Tomoharu Iwata",8,0.6666666666666666,0.684266877869201
"Claudio Gentile","Nicolò Cesa-Bianchi",21,0.6363636363636364,0.6825641907702893
"C. Seshadhri","Ali Pinar",6,0.6666666666666666,0.6798668250685674
"Jiafeng Guo","Yanyan Lan",13,0.65,0.6786003432041184
"Achi Brandt","Eitan Sharon",4,0.6666666666666666,0.6754667722679338
"Harpreet S. Sawhney","Rakesh Kumar 0001",16,0.64,0.6752004224050688
"Feng Chen","Chang-Tien Lu",11,0.6470588235294118,0.6712591139328966
"Xiaofei He","Deng Cai",28,0.6086956521739131,0.6702963913827836
"Mehryar Mohri","Corinna Cortes",24,0.6153846153846154,0.6681852489922188
"Fosca Giannotti","Dino Pedreschi",21,0.6176470588235294,0.6638476132301823
"Wenyu Liu","Xiang Bai",9,0.6428571428571429,0.6626573804599941
"Christian Böhm","Claudia Plant",22,0.6111111111111112,0.6595116919180808
"Gang Chen 0001","Ke Chen 0005",12,0.631578947368421,0.6579792641722226
"Chunhua Shen","Anton van den Hengel",19,0.6129032258064516,0.6547037274124708
"Bertrand Thirion","Gaël Varoquaux",7,0.6363636363636364,0.651763821165854
"Cornelia Fermüller","Yiannis Aloimonos",10,0.625,0.647000264003168
"Blaz Zupan","Janez Demsar",5,0.625,0.636000132001584
"Andrei Z. Broder","Vanja Josifovski",11,0.6111111111111112,0.635311401514596
"Alexandros Kalousis","Melanie Hilario",15,0.6,0.633000396004752
"Jian-Huang Lai","Chang-Dong Wang",8,0.6153846153846154,0.6329848265871498
"Jun Yan","Ning Liu",21,0.5833333333333334,0.6295338877399863
"Octavia I. Camps","Mario Sznaier",12,0.6,0.6264003168038016
"Heng Huang","Chris H. Q. Ding",25,0.5681818181818182,0.6231824781897384
"Jing Gao","Jiawei Han",30,0.5555555555555556,0.6215563475650597
