Name,Cooperator,Support,Confidence,Weight
"Gordon V. Cormack","Thomas R. Lynam",6,0.2857142857142857,0.2989144441161865
"Alexander Rakhlin","Jacob Abernethy",7,0.28,0.29540018480221764
"Aaron C. Courville","Ian J. Goodfellow",4,0.2857142857142857,0.2945143913155529
"Nikos Mamoulis","Man Lung Yiu",13,0.2653061224489796,0.2939064656530981
"Ambuj K. Singh","Petko Bogdanov",8,0.27586206896551724,0.29346228016805165
"Xuemin Lin","Ying Zhang",12,0.26666666666666666,0.29306698347046833
"Huan Liu","Jiliang Tang",22,0.24444444444444444,0.2928450252514141
"Jason Weston","Ronan Collobert",10,0.2702702702702703,0.2922705342734383
"Qiang Yang 0001","Zheng Chen",25,0.2358490566037736,0.2908497166116937
"John Shawe-Taylor","Nello Cristianini",14,0.25925925925925924,0.2900596288636945
"Benyu Zhang","Weiguo Fan",5,0.2777777777777778,0.2887779097793618
"Jianyong Wang","Jiawei Han",13,0.26,0.2886003432041185
"Ian Davidson","Xiang Wang",11,0.2619047619047619,0.2861050523082468
"Andrew Trotman","Antoine Doucet",6,0.2727272727272727,0.2859274311291735
"Vipin Kumar","Michael Steinbach",19,0.24358974358974358,0.28539024519576284
"Aidong Zhang","Jing Gao",10,0.2631578947368421,0.2851581587400101
"Jian-Yun Nie","Jianfeng Gao",7,0.2692307692307692,0.2846309540329868
"Alexander G. Gray","Parikshit Ram",9,0.2647058823529412,0.2845061199557924
"Michalis Vazirgiannis","Maria Halkidi",8,0.26666666666666666,0.2842668778692011
"Aristides Gionis","Heikki Mannila",16,0.24615384615384617,0.28135426855891504
"Steven C. H. Hoi","Rong Jin",14,0.25,0.2808003696044353
"Tie-Yan Liu","Bin Gao",11,0.2558139534883721,0.2800142438918569
"Ad Feelders","Wouter Duivesteijn",3,0.2727272727272727,0.2793273519282231
"Kotagiri Ramamohanarao","Christopher Leckie",15,0.2459016393442623,0.27890203534901437
"Richard S. Sutton","Doina Precup",10,0.2564102564102564,0.2784105204134244
"James T. Kwok","Ivor W. Tsang",9,0.2571428571428571,0.27694309474570833
"Lawrence Carin","David B. Dunson",14,0.24561403508771928,0.27641440469215456
"Alok N. Choudhary","Yusheng Xie",8,0.25806451612903225,0.27566472733156666
"Adam Kowalczyk","Bhavani Raskutti",4,0.26666666666666666,0.27546677226793387
"Brian D. Davison 0001","Dawei Yin",7,0.25925925925925924,0.27465944406147685
"Anastasia Ailamaki","Ioannis Alagiannis",5,0.2631578947368421,0.2741580267384261
"Aoying Zhou","Weining Qian",6,0.2608695652173913,0.2740697236192921
"Hans-Peter Kriegel","Peer Kröger",20,0.22988505747126436,0.27388558547760045
"Shenghuo Zhu","Yun Chi",10,0.25,0.272000264003168
"Divesh Srivastava","Nick Koudas",15,0.23809523809523808,0.27109563409999016
"Heikki Mannila","Aristides Gionis",16,0.23529411764705882,0.2704945400521277
"Xindong Wu","Xingquan Zhu",18,0.23076923076923078,0.27036970597493326
"Carlos Ordonez","Zhibo Chen 0002",9,0.25,0.2698002376028512
"Xuemin Lin","Wei Wang 0011",11,0.24444444444444444,0.2686447348479293
"Ben Kao","Sau Dan Lee",8,0.25,0.2676002112025344
"Dimitrios Gunopulos","Carlotta Domeniconi",12,0.24,0.26640031680380166
"Hisashi Kashima","Masashi Sugiyama",10,0.24390243902439024,0.26590270302755825
"Andrew W. Fitzgibbon","Shahram Izadi",7,0.25,0.2654001848022176
"Hui Xiong","Yong Ge",20,0.21978021978021978,0.26378074778655586
"Alexander G. Hauptmann","Yi Yang",6,0.25,0.2632001584019008
"Ping Luo","Fuzhen Zhuang",9,0.24324324324324326,0.26304348084609447
"Marianne Winslett","Vanessa Braganholo",18,0.2222222222222222,0.2618226974279247
"Raquel Urtasun","Alexander G. Schwing",12,0.23529411764705882,0.2616944344508605
"Arthur Zimek","Elke Achtert",5,0.25,0.261000132001584
"Ian Davidson","Wei Fan",10,0.23809523809523808,0.2600955020984061
"Claudia Plant","Xiao He",8,0.24242424242424243,0.26002445362677684
"Abdullah Mueen","Jesin Zakaria",4,0.25,0.2588001056012672
"Jimeng Sun","Christos Faloutsos",11,0.23404255319148937,0.2582428435949742
"Jeff A. Bilmes","Rishabh K. Iyer",7,0.2413793103448276,0.25677949514704523
"Joshua B. Tenenbaum","Thomas L. Griffiths",9,0.23684210526315788,0.2566423428660091
"Rakesh Agrawal","Ramakrishnan Srikant",14,0.22580645161290322,0.25660682121733847
"Adam Woznica","Jun Wang 0017",3,0.25,0.2566000792009504
"Chengqi Zhang","Longbing Cao",10,0.23255813953488372,0.25455840353805176
"Xiaoou Tang","Xiaogang Wang",18,0.21428571428571427,0.2538861894914167
"Aijun An","Mehdi Kargar",6,0.24,0.2532001584019008
"Fosca Giannotti","Mirco Nanni",8,0.23529411764705882,0.25289432884959323
"Masashi Sugiyama","Shinichi Nakajima",12,0.22641509433962265,0.2528154111434243
"Pang-Ning Tan","Haibin Cheng",9,0.23076923076923078,0.250569468372082
"Yishay Mansour","Eyal Even-Dar",10,0.22727272727272727,0.2492729912758953
"Anand Rangarajan","Eric Mjolsness",5,0.23809523809523808,0.2490953700968221
"Bart Goethals","Boris Cule",7,0.23333333333333334,0.24873351813555097
"Wang-Chien Lee","Dik Lun Lee",11,0.22448979591836735,0.2486900863218522
"Yong Yu","Shenghua Bao",12,0.2222222222222222,0.24862253902602385
"Zheng Chen","Benyu Zhang",16,0.21333333333333335,0.2485337557384022
"Donald Kossmann","Gustavo Alonso",8,0.22857142857142856,0.246171639773963
"Dan Suciu","Magdalena Balazinska",9,0.225,0.24480023760285125
"Kai Yu","Yihong Gong",10,0.2222222222222222,0.24422248622539025
"Mark Sanderson","Paul D. Clough",11,0.22,0.24420029040348484
"Asuman Dogac","Cem Evrendilek",4,0.23529411764705882,0.24409422324832603
"Graham Cormode","S. Muthukrishnan",6,0.23076923076923078,0.24396938917113162
"Edwin R. Hancock","Richard C. Wilson",7,0.22580645161290322,0.24120663641512086
"Xifeng Yan","Philip S. Yu",12,0.21428571428571427,0.24068603108951592
"Xindong Wu","Wei Ding 0003",16,0.20512820512820512,0.240328627533274
"Susan T. Dumais","Jaime Teevan",11,0.21568627450980393,0.23988656491328877
"Ahmed K. Elmagarmid","Mourad Ouzzani",8,0.2222222222222222,0.23982243342475665
"Inderjit S. Dhillon","Cho-Jui Hsieh",14,0.208955223880597,0.23975559348503225
"Volker Tresp","Hans-Peter Kriegel",10,0.21739130434782608,0.23939156835099412
"Fei-Fei Li","Li-Jia Li",9,0.21951219512195122,0.23931243272480246
"Ke Wang","Ada Wai-Chee Fu",15,0.2054794520547945,0.23847984805954656
"Andrew Trotman","Véronique Moriceau",5,0.22727272727272727,0.23827285927431127
"Aditya G. Parameswaran","Manas Joglekar",3,0.23076923076923078,0.23736930997018119
"Lawrence Carin","Xuejun Liao",12,0.21052631578947367,0.23692663259327532
"Kristen Grauman","Fei Sha",11,0.21153846153846154,0.23573875194194638
"Brian D. Davison 0001","Liangjie Hong",6,0.2222222222222222,0.23542238062412305
"David M. Blei","Chong Wang",10,0.2127659574468085,0.23476622144997655
"Ben Kao","Chun Kit Chui",7,0.21875,0.23415018480221764
"Lawrence K. Saul","Fei Sha",8,0.21621621621621623,0.23381642741875067
"Ee-Peng Lim","Aixin Sun",11,0.20754716981132076,0.2317474602148056
"Abdur Chowdhury","Aleksander Kolcz",4,0.2222222222222222,0.23102232782348942
"Horst Bischof","Peter M. Roth",12,0.2033898305084746,0.22979014731227623
"Craig Macdonald","Nicola Tonellotto",9,0.20930232558139536,0.2291025631842466
"Alan F. Smeaton","Cathal Gurrin",5,0.21739130434782608,0.2283914363494101
"Nitesh V. Chawla","Yuxiao Dong",8,0.21052631578947367,0.2281265269920081
"Thomas Seidl 0001","Hardy Kremer",11,0.2037037037037037,0.22790399410718853
"Claudia Plant","Junming Shao",7,0.21212121212121213,0.22752139692342976
"Ben Carterette","Praveen Chandar",6,0.21428571428571427,0.2274858726876151
"John D. Lafferty","Larry A. Wasserman",10,0.20408163265306123,0.22608189665622927
"Jean Ponce","Francis R. Bach",9,0.20454545454545456,0.2243456921483058
"Le Song","Arthur Gretton",8,0.20512820512820512,0.22272841633073956
"Alexander G. Gray","Dongryeol Lee",7,0.20588235294117646,0.2212825377433941
"Aaron C. Courville","Mehdi Mirza",3,0.21428571428571427,0.22088579348666468
"Arno Siebes","Matthijs van Leeuwen",6,0.20689655172413793,0.22009671012603876
"Bin Cui","Yingxia Shao",5,0.20833333333333334,0.21933346533491735
"Adrien Bartoli","Daniel Pizarro",4,0.21052631578947367,0.21932642139074088
